Regions,Cost of Living
Bay Area,93392
Central Coast,76493
Central Valley,56747
Inland Empire,63170
Los Angeles,80216
Orange,87648
Redwood Coast,58625
Sacramento,64520
San Diego-Imperial,51652
Shasta / Cascades,56468
Sierra Nevada,59502
California,74448
Urban,79472
Rural,58812
Bay Area Rural,79868
Bay Area Urban,94329
Central Coast Rural,71931
Central Coast Urban,78547
Central Valley Rural,56646
Central Valley Urban,56803
Inland Empire Urban,63170
Los Angeles Urban,80216
Orange Urban,87648
Redwood Coast Rural,58625
Sacramento Rural,64653
Sacramento Urban,63126
San Diego-Imperial Rural,50136
San Diego-Imperial Urban,79472
Shasta / Cascades Rural,56468
Sierra Nevada Rural,59502
Alameda,88296
Contra Costa,86284
Marin,114139
Napa,79277
San Francisco,114808
San Mateo,112606
Santa Clara,107879
Solano,66751
Sonoma,79868
Monterey,71583
San Benito,71583
San Luis Obispo,72151
Santa Barbara,82225
Santa Cruz,92540
Ventura,77322
Fresno,56327
Kern,54862
Kings,56569
Madera,58718
Merced,53463
San Joaquin,59779
Stanislaus,57275
Tulare,54201
Riverside,62983
San Bernardino,63336
Los Angeles,80216
Orange,87648
Del Norte,53946
Humboldt,59608
Mendocino,58568
El Dorado,65348
Placer,63983
Sacramento,63126
Sutter,55477
Yolo,66339
Yuba,55477
Imperial,50136
San Diego,79472
Butte,60360
Colusa,53769
Glenn,53769
Lake,58568
Shasta,57126
Siskiyou,53946
Tehama,53769
Trinity,53769
Alpine,61261
Amador,61261
Calaveras,61261
Inyo,61261
Lassen,53946
Mariposa,61261
Modoc,53946
Mono,61261
Nevada,63575
Plumas,53946
Sierra,63575
Tuolumne,61261
