Area Type,Area Name,Year,Month,Date,Series Code,Seasonally Adjusted,Current Employment,Industry Title,FIPS,COUNTYFIP,County,Rural/Urban,Regions,Crosswalk Value
County,Alameda,2016,January,01/01/2016,80000000,N,25500,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,February,02/01/2016,80000000,N,25700,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,March,03/01/2016,80000000,N,25800,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,April,04/01/2016,80000000,N,26300,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,May,05/01/2016,80000000,N,26300,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,June,06/01/2016,80000000,N,26500,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,July,07/01/2016,80000000,N,26800,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,August,08/01/2016,80000000,N,26800,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,September,09/01/2016,80000000,N,26300,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,October,10/01/2016,80000000,N,26400,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,November,11/01/2016,80000000,N,26200,other services,6001,1,Alameda,Urban,Bay Area,32
County,Alameda,2016,December,12/01/2016,80000000,N,26100,other services,6001,1,Alameda,Urban,Bay Area,32
County,Contra Costa,2016,January,01/01/2016,80000000,N,12700,other services,6013,13,Contra Costa,Urban,Bay Area,32
County,Contra Costa,2016,February,02/01/2016,80000000,N,12800,other services,6013,13,Contra Costa,Urban,Bay Area,32
County,Contra Costa,2016,March,03/01/2016,80000000,N,12700,other services,6013,13,Contra Costa,Urban,Bay Area,32
County,Contra Costa,2016,April,04/01/2016,80000000,N,12900,other services,6013,13,Contra Costa,Urban,Bay Area,32
County,Contra Costa,2016,May,05/01/2016,80000000,N,12900,other services,6013,13,Contra Costa,Urban,Bay Area,32
County,Contra Costa,2016,June,06/01/2016,80000000,N,13100,other services,6013,13,Contra Costa,Urban,Bay Area,32
County,Contra Costa,2016,July,07/01/2016,80000000,N,13300,other services,6013,13,Contra Costa,Urban,Bay Area,32
