Industry Title,LMID Industry Title,Parsed_Code,Area Type,Area Name,Date,Seasonally Adjusted,Current Employment,Main_EDD,Main_Code,Sub_1,Sub_1_Code,Sub_2,Sub_2_Code,Sub_3,Sub_3_Code,Sub_4,Sub_4_Code
city,city,939,County,San Diego County,02/01/2016,N,18200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,01/01/2016,N,5200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,01/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,01/01/2016,N,89100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,01/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,01/01/2016,N,1500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,01/01/2016,N,2100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,01/01/2016,N,800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,01/01/2016,N,15200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,01/01/2016,N,18100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,01/01/2016,N,3200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,01/01/2016,N,2900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,01/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,01/01/2016,N,2400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,01/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,01/01/2016,N,4000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,01/01/2016,N,258500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,02/01/2016,N,5100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,02/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,02/01/2016,N,89400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,02/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,02/01/2016,N,1500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,02/01/2016,N,2100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,02/01/2016,N,800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,02/01/2016,N,15300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,02/01/2016,N,3200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,02/01/2016,N,3100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,02/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,02/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,02/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,02/01/2016,N,4000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,05/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,02/01/2016,N,259700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,03/01/2016,N,5100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,03/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,03/01/2016,N,89600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,03/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,03/01/2016,N,1500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,03/01/2016,N,2200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,03/01/2016,N,800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,03/01/2016,N,15500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,03/01/2016,N,18300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,03/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,03/01/2016,N,3100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,03/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,03/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,03/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,03/01/2016,N,4100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,03/01/2016,N,260800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,04/01/2016,N,5200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,04/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,04/01/2016,N,89600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,04/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,04/01/2016,N,1500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,04/01/2016,N,2100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,04/01/2016,N,800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,04/01/2016,N,15800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,04/01/2016,N,18500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,04/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,04/01/2016,N,3000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,04/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,04/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,04/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,04/01/2016,N,4000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,04/01/2016,N,261500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,05/01/2016,N,5200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,05/01/2016,N,2800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,05/01/2016,N,90200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,05/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,05/01/2016,N,1500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,05/01/2016,N,2200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,05/01/2016,N,900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,05/01/2016,N,15900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,05/01/2016,N,18800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,05/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,05/01/2016,N,3000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,05/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,05/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,05/01/2016,N,4100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,05/01/2016,N,264100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,06/01/2016,N,5400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,06/01/2016,N,2800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,06/01/2016,N,93200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,06/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,06/01/2016,N,1700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,06/01/2016,N,2200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,06/01/2016,N,900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,06/01/2016,N,16400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,06/01/2016,N,19400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,06/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,06/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,06/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,06/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,06/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,06/01/2016,N,4100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,06/01/2016,N,273000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,07/01/2016,N,5400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,07/01/2016,N,2900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,07/01/2016,N,93800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,07/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,07/01/2016,N,1700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,07/01/2016,N,2300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,07/01/2016,N,1000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,07/01/2016,N,16500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,07/01/2016,N,19600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,07/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,07/01/2016,N,3400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,07/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,07/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,07/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,07/01/2016,N,3900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,07/01/2016,N,274800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,08/01/2016,N,5400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,08/01/2016,N,2800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,08/01/2016,N,93400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,08/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,08/01/2016,N,1600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,08/01/2016,N,2200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,08/01/2016,N,1000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,08/01/2016,N,16500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,08/01/2016,N,19500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,08/01/2016,N,3400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,08/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,08/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,08/01/2016,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,08/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,08/01/2016,N,4000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,08/01/2016,N,273500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,09/01/2016,N,5300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,09/01/2016,N,2800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,09/01/2016,N,90800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,09/01/2016,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,09/01/2016,N,1600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,09/01/2016,N,2100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,09/01/2016,N,900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,09/01/2016,N,15600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,09/01/2016,N,18900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,09/01/2016,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,09/01/2016,N,3000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,09/01/2016,N,2600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,09/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,09/01/2016,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
