Main_EDD,Main_Code,Sub_1,Sub_1_Code,Sub_2,Sub_2_Code,Sub_3,Sub_3_Code,Sub_4,Sub_4_Code
Mining and Logging,100,Mining,210,Oil & Gas Extraction,211,Oil & Gas Extraction,211,Oil & Gas Extraction,211
Mining and Logging,100,Mining,210,"Mining, except Oil & Gas",212,"Mining, except Oil & Gas",212,"Mining, except Oil & Gas",212
Mining and Logging,100,Mining,210,Support Activities for Mining,213,Support Activities for Mining,213,Support Activities for Mining,213
Mining and Logging,100,Logging,113,Logging,113,Logging,113,Logging,113
Total Farm,111,Total Farm,111,Total Farm,111,Total Farm,111,Total Farm,111
Construction,230,Construction of Buildings,236,Residential Building Construction,236a,Residential Building Construction,236a,Residential Building Construction,236a
Construction,230,Construction of Buildings,236,Nonresidential Building Construction,236b,Nonresidential Building Construction,236b,Nonresidential Building Construction,236b
Construction,230,Heavy & Civil Engineering Construction,237,Utility System Construction,237a,Utility System Construction,237a,Utility System Construction,237a
Construction,230,Heavy & Civil Engineering Construction,237,Land Subdivision,237b,Land Subdivision,237b,Land Subdivision,237b
Construction,230,Specialty Trade Contractors,238,"Highway, Street, & Bridge Construction",238a,"Highway, Street, & Bridge Construction",238a,"Highway, Street, & Bridge Construction",238a
Construction,230,Specialty Trade Contractors,238,Other Heavy & Civil Engineering Construction,238b,Other Heavy & Civil Engineering Construction,238b,Other Heavy & Civil Engineering Construction,238b
Construction,230,Specialty Trade Contractors,238,Building Foundation & Exterior Contractors,238c,Building Foundation & Exterior Contractors,238c,Building Foundation & Exterior Contractors,238c
Construction,230,Specialty Trade Contractors,238,Building Equipment Contractors,238d,Building Equipment Contractors,238d,Building Equipment Contractors,238d
Construction,230,Specialty Trade Contractors,238,Building Finishing Contractors,238e,Building Finishing Contractors,238e,Building Finishing Contractors,238e
Construction,230,Specialty Trade Contractors,238,Other Specialty Trade Contractors,238f,Other Specialty Trade Contractors,238f,Other Specialty Trade Contractors,238f
Manufacturing,300,Durable Goods,320,Wood Product Manufacturing,321,Other Wood Product Manufacturing,321a,Other Wood Product Manufacturing,321a
Manufacturing,300,Durable Goods,320,Nonmetallic Mineral Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,327
Manufacturing,300,Durable Goods,320,Primary Metal Manufacturing,331,Primary Metal Manufacturing,331,Primary Metal Manufacturing,331
Manufacturing,300,Durable Goods,320,Fabricated Metal Product Manufacturing,332,Architectural & Structural Metals Manufacturing,332a,Architectural & Structural Metals Manufacturing,332a
Manufacturing,300,Durable Goods,320,Fabricated Metal Product Manufacturing,332,Machine Shops & Threaded Product Manufacturing,332b,Machine Shops & Threaded Product Manufacturing,332b
Manufacturing,300,Durable Goods,320,Fabricated Metal Product Manufacturing,332,Other Fabricated Metal Product Manufacturing,332c,Other Fabricated Metal Product Manufacturing,332c
Manufacturing,300,Durable Goods,320,Machinery Manufacturing,333,Industrial Machinery Manufacturing,333a,Industrial Machinery Manufacturing,333a
Manufacturing,300,Durable Goods,320,Machinery Manufacturing,333,Commercial & Service Industry Manufacturing,333b,Commercial & Service Industry Manufacturing,333b
Manufacturing,300,Durable Goods,320,Machinery Manufacturing,333,Metalworking Machinery Manufacturing,333c,Metalworking Machinery Manufacturing,333c
Manufacturing,300,Durable Goods,320,Machinery Manufacturing,333,Other General Purpose Machinery Manufacturing,333d,Other General Purpose Machinery Manufacturing,333d
Manufacturing,300,Durable Goods,320,Computer & Electronic Product Manufacturing,334,Computer & Peripheral Equipment Manufacturing,334a,Electronic Computer Manufacturing,334aa
Manufacturing,300,Durable Goods,320,Computer & Electronic Product Manufacturing,334,Communications Equipment Manufacturing,334b,Communications Equipment Manufacturing,334b
Manufacturing,300,Durable Goods,320,Computer & Electronic Product Manufacturing,334,Semiconductor & Electronic Component Mfg,334c,Bare Printed Circuit Board Manufacturing,334ca
Manufacturing,300,Durable Goods,320,Computer & Electronic Product Manufacturing,334,Semiconductor & Electronic Component Mfg,334c,Semiconductor & Related Devices Manufacturing,334cb
Manufacturing,300,Durable Goods,320,Computer & Electronic Product Manufacturing,334,Electronic Instrument Manufacturing,334d,Electronic Instrument Manufacturing,334d
Manufacturing,300,Durable Goods,320,Electrical Equipment & Appliance Manufacturing,335,Electrical Equipment & Appliance Manufacturing,335,Electrical Equipment & Appliance Manufacturing,335
Manufacturing,300,Durable Goods,320,Transportation Equipment Manufacturing,336,Motor Vehicle Manufacturing,336a,Motor Vehicle Manufacturing,336a
Manufacturing,300,Durable Goods,320,Transportation Equipment Manufacturing,336,Aerospace Product & Parts Manufacturing,336b,Aerospace Product & Parts Manufacturing,336b
Manufacturing,300,Durable Goods,320,Transportation Equipment Manufacturing,336,Ship & Boat Building,336c,Ship & Boat Building,336c
Manufacturing,300,Durable Goods,320,Furniture & Related Product Manufacturing,337,Household & Institutional Furniture Mfg,337a,Household & Institutional Furniture Mfg,337a
Manufacturing,300,Durable Goods,320,Miscellaneous Durable Goods Manufacturing,339,Medical Equipment & Supplies Manufacturing,339a,Medical Equipment & Supplies Manufacturing,339a
Manufacturing,300,Durable Goods,320,Miscellaneous Durable Goods Manufacturing,339,Other Miscellaneous Durable Goods Manufacturing,339b,Other Miscellaneous Durable Goods Manufacturing,339b
