Industry Title,unweighted_ind_counts,wt_ind_counts,wt_CA_high_wage_count,wt_CA_high_wage_perc
Coal mining,3,713.0,713.0,100.0
Tobacco,2,62.0,55.0,88.70967741935483
Software publishers,405,40383.0,34271.0,84.86491840626006
"Electric and gas, and other combinations",364,31461.0,25762.0,81.88550904294205
Internet publishing and broadcasting and web search portals,898,84500.0,67881.0,80.33254437869822
Not specified utilities,41,3260.0,2552.0,78.28220858895706
Sewage treatment facilities,108,10351.0,7947.0,76.77519080282099
Computer systems design and related services,6238,613483.0,469415.0,76.51638268705082
"Engine, turbine, and power transmission equipment manufacturing",53,6402.0,4866.0,76.0074976569822
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",74,6872.0,5101.0,74.22875436554133
Computer and peripheral equipment manufacturing,524,48224.0,34515.0,71.57224618447246
Rail transportation,152,19503.0,13945.0,71.5018202327847
Metal ore mining,13,1719.0,1220.0,70.97149505526468
"Data processing, hosting, and related services",273,25861.0,18351.0,70.96013301883146
"Electric power generation, transmission and distribution",558,52027.0,36901.0,70.92663424760221
Petroleum refining,188,19544.0,13748.0,70.34383954154728
Pharmaceuticals and medicines,878,82428.0,57570.0,69.84277187363517
Pipeline transportation,16,1672.0,1167.0,69.79665071770334
"Communications, audio, and video equipment",336,29509.0,20509.0,69.50083025517638
Natural gas distribution,152,15318.0,10629.0,69.38895417156287
Aerospace products and parts manufacturing,178,16335.0,11304.0,69.20110192837465
Nonmetallic mineral mining and quarrying,62,5928.0,4067.0,68.60661268556005
Scientific research and development services,1684,154626.0,105726.0,68.37530557603509
Labor unions,172,15327.0,10275.0,67.03855940497162
"Justice, public order, and safety activities",3792,366233.0,243350.0,66.44677022551218
"Electronic components and products, n.e.c.",2146,196668.0,127913.0,65.04006752496593
"Water, steam, air conditioning, and irrigation systems",442,42608.0,27481.0,64.49727750657154
"Navigational, measuring, electromedical, and control instruments",470,41658.0,26740.0,64.1893513850881
Management of companies and enterprises,324,32507.0,20847.0,64.13080259636385
"Securities, commodities, funds, trusts, and other financial investments",1740,165926.0,105375.0,63.50722611284548
"Architectural, engineering, and related services",2484,230143.0,143891.0,62.522431705504836
Administration of environmental quality and housing programs,425,36022.0,22519.0,62.51457442673921
Wired telecommunications carriers,659,64442.0,39999.0,62.06976816362
"Paint, coating, and adhesives",60,6675.0,4135.0,61.94756554307116
Administration of economic programs and space research,682,63260.0,39170.0,61.91906417957635
Broadcasting (except internet),724,70550.0,43606.0,61.80864635010631
National security and international affairs,1045,100409.0,62029.0,61.77633479070601
Support activities for mining,155,15888.0,9759.0,61.4237160120846
Nondepository credit and related activities,1297,129223.0,79123.0,61.22981203036611
Aircraft and parts manufacturing,1736,168720.0,102477.0,60.73790896159317
"Telecommunications, except wired telecommunications carriers",405,42774.0,25808.0,60.335717959508116
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",7895,796488.0,479988.0,60.26305481061861
