Industry,Date,County,High Wage Count
accounting tax preparation bookkeeping and payroll services,2019-01-01,Alameda,11611
accounting tax preparation bookkeeping and payroll services,2019-02-01,Alameda,12800
accounting tax preparation bookkeeping and payroll services,2019-03-01,Alameda,13016
accounting tax preparation bookkeeping and payroll services,2019-04-01,Alameda,12854
accounting tax preparation bookkeeping and payroll services,2019-05-01,Alameda,11638
accounting tax preparation bookkeeping and payroll services,2019-06-01,Alameda,12071
accounting tax preparation bookkeeping and payroll services,2019-07-01,Alameda,12044
accounting tax preparation bookkeeping and payroll services,2019-08-01,Alameda,11935
accounting tax preparation bookkeeping and payroll services,2019-09-01,Alameda,12017
accounting tax preparation bookkeeping and payroll services,2019-10-01,Alameda,12044
accounting tax preparation bookkeeping and payroll services,2019-11-01,Alameda,12881
accounting tax preparation bookkeeping and payroll services,2019-12-01,Alameda,13070
accounting tax preparation bookkeeping and payroll services,2019-01-01,Butte,11404
accounting tax preparation bookkeeping and payroll services,2019-02-01,Butte,12571
accounting tax preparation bookkeeping and payroll services,2019-03-01,Butte,12784
accounting tax preparation bookkeeping and payroll services,2019-04-01,Butte,12624
accounting tax preparation bookkeeping and payroll services,2019-05-01,Butte,11431
accounting tax preparation bookkeeping and payroll services,2019-06-01,Butte,11855
accounting tax preparation bookkeeping and payroll services,2019-07-01,Butte,11829
accounting tax preparation bookkeeping and payroll services,2019-08-01,Butte,11723
accounting tax preparation bookkeeping and payroll services,2019-09-01,Butte,11802
accounting tax preparation bookkeeping and payroll services,2019-10-01,Butte,11829
accounting tax preparation bookkeeping and payroll services,2019-11-01,Butte,12651
accounting tax preparation bookkeeping and payroll services,2019-12-01,Butte,12837
accounting tax preparation bookkeeping and payroll services,2019-01-01,Contra Costa,4290
accounting tax preparation bookkeeping and payroll services,2019-02-01,Contra Costa,4729
accounting tax preparation bookkeeping and payroll services,2019-03-01,Contra Costa,4808
accounting tax preparation bookkeeping and payroll services,2019-04-01,Contra Costa,4749
accounting tax preparation bookkeeping and payroll services,2019-05-01,Contra Costa,4300
accounting tax preparation bookkeeping and payroll services,2019-06-01,Contra Costa,4459
accounting tax preparation bookkeeping and payroll services,2019-07-01,Contra Costa,4449
accounting tax preparation bookkeeping and payroll services,2019-08-01,Contra Costa,4409
accounting tax preparation bookkeeping and payroll services,2019-09-01,Contra Costa,4439
accounting tax preparation bookkeeping and payroll services,2019-10-01,Contra Costa,4449
accounting tax preparation bookkeeping and payroll services,2019-11-01,Contra Costa,4759
accounting tax preparation bookkeeping and payroll services,2019-12-01,Contra Costa,4828
accounting tax preparation bookkeeping and payroll services,2019-01-01,El Dorado,13255
