Industry,Date,County,High Wage Count,Cost of Living,Employment Count,Output Race
accounting tax preparation bookkeeping and payroll services,2019-01-01,Los Angeles,5394,80216,19421.782564314308,White
accounting tax preparation bookkeeping and payroll services,2019-01-01,Los Angeles,5394,80216,19421.782564314308,White
accounting tax preparation bookkeeping and payroll services,2019-02-01,Los Angeles,5946,80216,21409.127756941816,White
accounting tax preparation bookkeeping and payroll services,2019-02-01,Los Angeles,5946,80216,21409.127756941816,White
accounting tax preparation bookkeeping and payroll services,2019-03-01,Los Angeles,6047,80216,21770.463246510455,White
accounting tax preparation bookkeeping and payroll services,2019-03-01,Los Angeles,6047,80216,21770.463246510455,White
accounting tax preparation bookkeeping and payroll services,2019-04-01,Los Angeles,5971,80216,21499.461629333975,White
accounting tax preparation bookkeeping and payroll services,2019-04-01,Los Angeles,5971,80216,21499.461629333975,White
accounting tax preparation bookkeeping and payroll services,2019-05-01,Los Angeles,5407,80216,19466.949500510385,White
accounting tax preparation bookkeeping and payroll services,2019-05-01,Los Angeles,5407,80216,19466.949500510385,White
accounting tax preparation bookkeeping and payroll services,2019-06-01,Los Angeles,5607,80216,20189.620479647663,White
accounting tax preparation bookkeeping and payroll services,2019-06-01,Los Angeles,5607,80216,20189.620479647663,White
accounting tax preparation bookkeeping and payroll services,2019-07-01,Los Angeles,5595,80216,20144.453543451582,White
accounting tax preparation bookkeeping and payroll services,2019-07-01,Los Angeles,5595,80216,20144.453543451582,White
accounting tax preparation bookkeeping and payroll services,2019-08-01,Los Angeles,5545,80216,19963.785798667264,White
accounting tax preparation bookkeeping and payroll services,2019-08-01,Los Angeles,5545,80216,19963.785798667264,White
accounting tax preparation bookkeeping and payroll services,2019-09-01,Los Angeles,5582,80216,20099.286607255504,White
accounting tax preparation bookkeeping and payroll services,2019-09-01,Los Angeles,5582,80216,20099.286607255504,White
accounting tax preparation bookkeeping and payroll services,2019-10-01,Los Angeles,5595,80216,20144.453543451582,White
accounting tax preparation bookkeeping and payroll services,2019-10-01,Los Angeles,5595,80216,20144.453543451582,White
accounting tax preparation bookkeeping and payroll services,2019-11-01,Los Angeles,5984,80216,21544.628565530056,White
accounting tax preparation bookkeeping and payroll services,2019-11-01,Los Angeles,5984,80216,21544.628565530056,White
accounting tax preparation bookkeeping and payroll services,2019-12-01,Los Angeles,6072,80216,21860.797118902614,White
accounting tax preparation bookkeeping and payroll services,2019-12-01,Los Angeles,6072,80216,21860.797118902614,White
advertising public relations and related services,2019-01-01,Los Angeles,6119,80216,15220.53774696758,White
advertising public relations and related services,2019-01-01,Los Angeles,6119,80216,15220.53774696758,White
advertising public relations and related services,2019-02-01,Los Angeles,6191,80216,15398.903423689855,White
advertising public relations and related services,2019-02-01,Los Angeles,6191,80216,15398.903423689855,White
advertising public relations and related services,2019-03-01,Los Angeles,6143,80216,15279.992972541671,White
advertising public relations and related services,2019-03-01,Los Angeles,6143,80216,15279.992972541671,White
advertising public relations and related services,2019-04-01,Los Angeles,6262,80216,15577.269100412132,White
advertising public relations and related services,2019-04-01,Los Angeles,6262,80216,15577.269100412132,White
advertising public relations and related services,2019-05-01,Los Angeles,6239,80216,15517.81387483804,White
advertising public relations and related services,2019-05-01,Los Angeles,6239,80216,15517.81387483804,White
advertising public relations and related services,2019-06-01,Los Angeles,6310,80216,15696.179551560317,White
advertising public relations and related services,2019-06-01,Los Angeles,6310,80216,15696.179551560317,White
advertising public relations and related services,2019-07-01,Los Angeles,6358,80216,15815.0900027085,White
advertising public relations and related services,2019-07-01,Los Angeles,6358,80216,15815.0900027085,White
advertising public relations and related services,2019-08-01,Los Angeles,6382,80216,15874.545228282594,White
advertising public relations and related services,2019-08-01,Los Angeles,6382,80216,15874.545228282594,White
advertising public relations and related services,2019-09-01,Los Angeles,6310,80216,15696.179551560317,White
advertising public relations and related services,2019-09-01,Los Angeles,6310,80216,15696.179551560317,White
advertising public relations and related services,2019-10-01,Los Angeles,6382,80216,15874.545228282594,White
advertising public relations and related services,2019-10-01,Los Angeles,6382,80216,15874.545228282594,White
advertising public relations and related services,2019-11-01,Los Angeles,6430,80216,15993.455679430777,White
advertising public relations and related services,2019-11-01,Los Angeles,6430,80216,15993.455679430777,White
advertising public relations and related services,2019-12-01,Los Angeles,6406,80216,15934.000453856685,White
advertising public relations and related services,2019-12-01,Los Angeles,6406,80216,15934.000453856685,White
aerospace products and parts manufacturing,2019-01-01,Los Angeles,12456,80216,19140.174482564536,White
aerospace products and parts manufacturing,2019-01-01,Los Angeles,12456,80216,19140.174482564536,White
aerospace products and parts manufacturing,2019-01-01,Los Angeles,12456,80216,19140.174482564536,White
aerospace products and parts manufacturing,2019-01-01,Los Angeles,12456,80216,19140.174482564536,White
aerospace products and parts manufacturing,2019-02-01,Los Angeles,12551,80216,19286.65540972702,White
aerospace products and parts manufacturing,2019-02-01,Los Angeles,12551,80216,19286.65540972702,White
aerospace products and parts manufacturing,2019-02-01,Los Angeles,12551,80216,19286.65540972702,White
aerospace products and parts manufacturing,2019-02-01,Los Angeles,12551,80216,19286.65540972702,White
aerospace products and parts manufacturing,2019-03-01,Los Angeles,12488,80216,19189.001458285366,White
aerospace products and parts manufacturing,2019-03-01,Los Angeles,12488,80216,19189.001458285366,White
aerospace products and parts manufacturing,2019-03-01,Los Angeles,12488,80216,19189.001458285366,White
aerospace products and parts manufacturing,2019-03-01,Los Angeles,12488,80216,19189.001458285366,White
aerospace products and parts manufacturing,2019-04-01,Los Angeles,12647,80216,19433.136336889504,White
aerospace products and parts manufacturing,2019-04-01,Los Angeles,12647,80216,19433.136336889504,White
aerospace products and parts manufacturing,2019-04-01,Los Angeles,12647,80216,19433.136336889504,White
aerospace products and parts manufacturing,2019-04-01,Los Angeles,12647,80216,19433.136336889504,White
aerospace products and parts manufacturing,2019-05-01,Los Angeles,12583,80216,19335.48238544785,White
aerospace products and parts manufacturing,2019-05-01,Los Angeles,12583,80216,19335.48238544785,White
aerospace products and parts manufacturing,2019-05-01,Los Angeles,12583,80216,19335.48238544785,White
aerospace products and parts manufacturing,2019-05-01,Los Angeles,12583,80216,19335.48238544785,White
aerospace products and parts manufacturing,2019-06-01,Los Angeles,12710,80216,19530.790288331158,White
aerospace products and parts manufacturing,2019-06-01,Los Angeles,12710,80216,19530.790288331158,White
aerospace products and parts manufacturing,2019-06-01,Los Angeles,12710,80216,19530.790288331158,White
aerospace products and parts manufacturing,2019-06-01,Los Angeles,12710,80216,19530.790288331158,White
aerospace products and parts manufacturing,2019-07-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-07-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-07-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-07-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-08-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-08-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-08-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-08-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-09-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-09-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-09-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-09-01,Los Angeles,12806,80216,19677.27121549364,White
aerospace products and parts manufacturing,2019-10-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-10-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-10-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-10-01,Los Angeles,12742,80216,19579.617264051987,White
aerospace products and parts manufacturing,2019-11-01,Los Angeles,12837,80216,19726.09819121447,White
aerospace products and parts manufacturing,2019-11-01,Los Angeles,12837,80216,19726.09819121447,White
aerospace products and parts manufacturing,2019-11-01,Los Angeles,12837,80216,19726.09819121447,White
aerospace products and parts manufacturing,2019-11-01,Los Angeles,12837,80216,19726.09819121447,White
aerospace products and parts manufacturing,2019-12-01,Los Angeles,12965,80216,19921.406094097783,White
aerospace products and parts manufacturing,2019-12-01,Los Angeles,12965,80216,19921.406094097783,White
aerospace products and parts manufacturing,2019-12-01,Los Angeles,12965,80216,19921.406094097783,White
aerospace products and parts manufacturing,2019-12-01,Los Angeles,12965,80216,19921.406094097783,White
agencies brokerages and other insurance related activities,2019-01-01,Los Angeles,5562,80216,15893.747024633269,White
agencies brokerages and other insurance related activities,2019-01-01,Los Angeles,5562,80216,15893.747024633269,White
agencies brokerages and other insurance related activities,2019-01-01,Los Angeles,5562,80216,15893.747024633269,White
agencies brokerages and other insurance related activities,2019-01-01,Los Angeles,5562,80216,15893.747024633269,White
