Industry,Date,County,High Wage Count,Employment Count,Cost of Living
accounting tax preparation bookkeeping and payroll services,2015-01-01,Los Angeles,8430,44400.0,72636
accounting tax preparation bookkeeping and payroll services,2015-01-01,Los Angeles,8430,44400.0,72636
accounting tax preparation bookkeeping and payroll services,2015-02-01,Los Angeles,8923,47000.0,72636
accounting tax preparation bookkeeping and payroll services,2015-02-01,Los Angeles,8923,47000.0,72636
accounting tax preparation bookkeeping and payroll services,2015-03-01,Los Angeles,8904,46900.0,72636
accounting tax preparation bookkeeping and payroll services,2015-03-01,Los Angeles,8904,46900.0,72636
accounting tax preparation bookkeeping and payroll services,2015-04-01,Los Angeles,9455,49800.0,72636
accounting tax preparation bookkeeping and payroll services,2015-04-01,Los Angeles,9455,49800.0,72636
accounting tax preparation bookkeeping and payroll services,2015-05-01,Los Angeles,8639,45500.0,72636
accounting tax preparation bookkeeping and payroll services,2015-05-01,Los Angeles,8639,45500.0,72636
accounting tax preparation bookkeeping and payroll services,2015-06-01,Los Angeles,8753,46100.0,72636
accounting tax preparation bookkeeping and payroll services,2015-06-01,Los Angeles,8753,46100.0,72636
accounting tax preparation bookkeeping and payroll services,2015-07-01,Los Angeles,8942,47100.0,72636
accounting tax preparation bookkeeping and payroll services,2015-07-01,Los Angeles,8942,47100.0,72636
accounting tax preparation bookkeeping and payroll services,2015-08-01,Los Angeles,8677,45700.0,72636
accounting tax preparation bookkeeping and payroll services,2015-08-01,Los Angeles,8677,45700.0,72636
accounting tax preparation bookkeeping and payroll services,2015-09-01,Los Angeles,8715,45900.0,72636
accounting tax preparation bookkeeping and payroll services,2015-09-01,Los Angeles,8715,45900.0,72636
accounting tax preparation bookkeeping and payroll services,2015-10-01,Los Angeles,9056,47700.0,72636
accounting tax preparation bookkeeping and payroll services,2015-10-01,Los Angeles,9056,47700.0,72636
accounting tax preparation bookkeeping and payroll services,2015-11-01,Los Angeles,9531,50200.0,72636
accounting tax preparation bookkeeping and payroll services,2015-11-01,Los Angeles,9531,50200.0,72636
accounting tax preparation bookkeeping and payroll services,2015-12-01,Los Angeles,9265,48800.0,72636
accounting tax preparation bookkeeping and payroll services,2015-12-01,Los Angeles,9265,48800.0,72636
advertising and related services,2015-01-01,Los Angeles,8325,23800.0,72636
advertising and related services,2015-01-01,Los Angeles,8325,23800.0,72636
advertising and related services,2015-02-01,Los Angeles,8430,24100.0,72636
advertising and related services,2015-02-01,Los Angeles,8430,24100.0,72636
advertising and related services,2015-03-01,Los Angeles,8430,24100.0,72636
advertising and related services,2015-03-01,Los Angeles,8430,24100.0,72636
advertising and related services,2015-04-01,Los Angeles,8500,24300.0,72636
advertising and related services,2015-04-01,Los Angeles,8500,24300.0,72636
advertising and related services,2015-05-01,Los Angeles,8535,24400.0,72636
advertising and related services,2015-05-01,Los Angeles,8535,24400.0,72636
advertising and related services,2015-06-01,Los Angeles,8570,24500.0,72636
advertising and related services,2015-06-01,Los Angeles,8570,24500.0,72636
advertising and related services,2015-07-01,Los Angeles,8710,24900.0,72636
advertising and related services,2015-07-01,Los Angeles,8710,24900.0,72636
advertising and related services,2015-08-01,Los Angeles,8815,25200.0,72636
advertising and related services,2015-08-01,Los Angeles,8815,25200.0,72636
advertising and related services,2015-09-01,Los Angeles,8605,24600.0,72636
advertising and related services,2015-09-01,Los Angeles,8605,24600.0,72636
advertising and related services,2015-10-01,Los Angeles,8710,24900.0,72636
advertising and related services,2015-10-01,Los Angeles,8710,24900.0,72636
advertising and related services,2015-11-01,Los Angeles,8710,24900.0,72636
advertising and related services,2015-11-01,Los Angeles,8710,24900.0,72636
advertising and related services,2015-12-01,Los Angeles,8780,25100.0,72636
advertising and related services,2015-12-01,Los Angeles,8780,25100.0,72636
aerospace products and parts manufacturing,2015-01-01,Los Angeles,17089,39300.0,72636
aerospace products and parts manufacturing,2015-01-01,Los Angeles,17089,39300.0,72636
aerospace products and parts manufacturing,2015-01-01,Los Angeles,17089,39300.0,72636
aerospace products and parts manufacturing,2015-01-01,Los Angeles,17089,39300.0,72636
aerospace products and parts manufacturing,2015-02-01,Los Angeles,17262,39700.0,72636
aerospace products and parts manufacturing,2015-02-01,Los Angeles,17262,39700.0,72636
aerospace products and parts manufacturing,2015-02-01,Los Angeles,17262,39700.0,72636
aerospace products and parts manufacturing,2015-02-01,Los Angeles,17262,39700.0,72636
aerospace products and parts manufacturing,2015-03-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-03-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-03-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-03-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-04-01,Los Angeles,16828,38700.0,72636
aerospace products and parts manufacturing,2015-04-01,Los Angeles,16828,38700.0,72636
aerospace products and parts manufacturing,2015-04-01,Los Angeles,16828,38700.0,72636
aerospace products and parts manufacturing,2015-04-01,Los Angeles,16828,38700.0,72636
aerospace products and parts manufacturing,2015-05-01,Los Angeles,16784,38600.0,72636
aerospace products and parts manufacturing,2015-05-01,Los Angeles,16784,38600.0,72636
aerospace products and parts manufacturing,2015-05-01,Los Angeles,16784,38600.0,72636
aerospace products and parts manufacturing,2015-05-01,Los Angeles,16784,38600.0,72636
aerospace products and parts manufacturing,2015-06-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-06-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-06-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-06-01,Los Angeles,16915,38900.0,72636
aerospace products and parts manufacturing,2015-07-01,Los Angeles,17002,39100.0,72636
aerospace products and parts manufacturing,2015-07-01,Los Angeles,17002,39100.0,72636
aerospace products and parts manufacturing,2015-07-01,Los Angeles,17002,39100.0,72636
aerospace products and parts manufacturing,2015-07-01,Los Angeles,17002,39100.0,72636
aerospace products and parts manufacturing,2015-08-01,Los Angeles,16958,39000.0,72636
aerospace products and parts manufacturing,2015-08-01,Los Angeles,16958,39000.0,72636
aerospace products and parts manufacturing,2015-08-01,Los Angeles,16958,39000.0,72636
aerospace products and parts manufacturing,2015-08-01,Los Angeles,16958,39000.0,72636
aerospace products and parts manufacturing,2015-09-01,Los Angeles,16871,38800.0,72636
aerospace products and parts manufacturing,2015-09-01,Los Angeles,16871,38800.0,72636
aerospace products and parts manufacturing,2015-09-01,Los Angeles,16871,38800.0,72636
aerospace products and parts manufacturing,2015-09-01,Los Angeles,16871,38800.0,72636
aerospace products and parts manufacturing,2015-10-01,Los Angeles,16610,38200.0,72636
aerospace products and parts manufacturing,2015-10-01,Los Angeles,16610,38200.0,72636
aerospace products and parts manufacturing,2015-10-01,Los Angeles,16610,38200.0,72636
aerospace products and parts manufacturing,2015-10-01,Los Angeles,16610,38200.0,72636
aerospace products and parts manufacturing,2015-11-01,Los Angeles,16523,38000.0,72636
aerospace products and parts manufacturing,2015-11-01,Los Angeles,16523,38000.0,72636
aerospace products and parts manufacturing,2015-11-01,Los Angeles,16523,38000.0,72636
aerospace products and parts manufacturing,2015-11-01,Los Angeles,16523,38000.0,72636
aerospace products and parts manufacturing,2015-12-01,Los Angeles,16480,37900.0,72636
aerospace products and parts manufacturing,2015-12-01,Los Angeles,16480,37900.0,72636
aerospace products and parts manufacturing,2015-12-01,Los Angeles,16480,37900.0,72636
aerospace products and parts manufacturing,2015-12-01,Los Angeles,16480,37900.0,72636
animal slaughtering and processing,2015-01-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-01-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-02-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-02-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-03-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-03-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-04-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-04-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-05-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-05-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-06-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-06-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-07-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-07-01,Los Angeles,234,4700.0,72636
animal slaughtering and processing,2015-08-01,Los Angeles,239,4800.0,72636
animal slaughtering and processing,2015-08-01,Los Angeles,239,4800.0,72636
animal slaughtering and processing,2015-09-01,Los Angeles,239,4800.0,72636
animal slaughtering and processing,2015-09-01,Los Angeles,239,4800.0,72636
animal slaughtering and processing,2015-10-01,Los Angeles,239,4800.0,72636
animal slaughtering and processing,2015-10-01,Los Angeles,239,4800.0,72636
animal slaughtering and processing,2015-11-01,Los Angeles,239,4800.0,72636
