Industry Title,INDNAICS,Main_Code,Sub_1_Code,Sub_2_Code,Sub_3_Code,Sub_4_Code
Crop production,111,111,111,111,111,111
Support activities for agriculture and forestry,115,111,111,111,111,111
Animal production and aquaculture ,112,111,111,111,111,111
"Fishing, hunting, and trapping",114,111,111,111,111,111
"Forestry, except logging",113m,100,113,113,113,113
Logging,1133,100,113,113,113,113
Oil and gas extraction,211,100,210,211,211,211
Nonmetallic mineral mining and quarrying,2123,100,210,212,212,212
Metal ore mining,2122,100,210,212,212,212
Coal mining,2121,100,210,212,212,212
Support activities for mining,213,100,210,213,213,213
Not specified utilities,22s,400,431,431,431,431
"Water, steam, air conditioning, and irrigation systems",2213m,400,431,431,431,431
Natural gas distribution,2212p,400,431,431b,431b,431b
Sewage treatment facilities,22132,400,431,431,431,431
"Electric power generation, transmission and distribution",2211p,400,431,431a,431a,431a
"Electric and gas, and other combinations",221mp,400,431,431,431,431
Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),23,230,230,230,230,230
Not specified industries,3ms,300,300,300,300,300
Leather and hide tanning and finishing and other allied products manufacturing,316m,300,310,310,310,310
Retail bakeries,311811,300,310,311,311d,311d
Animal slaughtering and processing,3116,300,310,311,311c,311c
Fruit and vegetable preserving and specialty foods,3114,300,310,311,311a,311a
Dairy products,3115,300,310,311,311b,311b
"Bakeries and tortilla manufacturing, except retail bakeries",3118z,300,310,311,311d,311d
"Seafood and other miscellaneous foods, n.e.c.",311m2,300,310,311,311e,311e
"Animal food, grain and oilseed milling",311m1,300,310,311,311,311
Not specified food industries,311s,300,310,311,311,311
Sugar and confectionery products,3113,300,310,311,311,311
Beverage,3121,300,310,312,312,312
Tobacco,3122,300,310,312,312,312
"Fabric mills, except knitting mills",3132z,300,310,313,313,313
Textile And Fabric Finishing and Fabric Coating Mills,3133,300,310,314,314,314
Carpet and rug mills,31411,300,310,314,314,314
Textile product mills except carpets and rugs,314z,300,310,314,314,314
"Knitting fabric mills, and apparel knitting mills",31m,300,310,315,315a,315a
"Cut And Sew, And Apparel Accessories And Other Apparel",315m,300,310,315,315b,315b
Footwear Manufacturing,3162,300,310,315,315,315
"Veneer, plywood, and engineered wood products",3212,300,320,321,321,321
Miscellaneous wood products,3219zm,300,320,321,321a,321a
Prefabricated wood buildings and mobile homes,32199m,300,320,321,321,321
