Industry,Date,Region,High Wage Count,Employment Count,Cost of Living,Region Population,Year
accommodation and food services,2014-01-01,Inland Empire,12184,123200.0,59469,4560470,2014
accommodation and food services,2014-02-01,Inland Empire,12352,124900.0,59469,4560470,2014
accommodation and food services,2014-03-01,Inland Empire,12490,126300.0,59469,4560470,2014
accommodation and food services,2014-04-01,Inland Empire,12550,126900.0,59469,4560470,2014
accommodation and food services,2014-05-01,Inland Empire,12659,128000.0,59469,4560470,2014
accommodation and food services,2014-06-01,Inland Empire,12609,127500.0,59469,4560470,2014
accommodation and food services,2014-07-01,Inland Empire,12540,126800.0,59469,4560470,2014
accommodation and food services,2014-08-01,Inland Empire,12560,127000.0,59469,4560470,2014
accommodation and food services,2014-09-01,Inland Empire,12609,127500.0,59469,4560470,2014
accommodation and food services,2014-10-01,Inland Empire,12708,128500.0,59469,4560470,2014
accommodation and food services,2014-11-01,Inland Empire,12817,129600.0,59469,4560470,2014
accommodation and food services,2014-12-01,Inland Empire,12856,130000.0,59469,4560470,2014
administrative and support and waste services,2014-01-01,Inland Empire,18218,82300.0,59469,4560470,2014
administrative and support and waste services,2014-02-01,Inland Empire,18572,83900.0,59469,4560470,2014
administrative and support and waste services,2014-03-01,Inland Empire,18771,84800.0,59469,4560470,2014
administrative and support and waste services,2014-04-01,Inland Empire,19369,87500.0,59469,4560470,2014
administrative and support and waste services,2014-05-01,Inland Empire,19236,86900.0,59469,4560470,2014
administrative and support and waste services,2014-06-01,Inland Empire,19435,87800.0,59469,4560470,2014
administrative and support and waste services,2014-07-01,Inland Empire,19546,88300.0,59469,4560470,2014
administrative and support and waste services,2014-08-01,Inland Empire,19878,89800.0,59469,4560470,2014
administrative and support and waste services,2014-09-01,Inland Empire,20299,91700.0,59469,4560470,2014
administrative and support and waste services,2014-10-01,Inland Empire,21251,96000.0,59469,4560470,2014
administrative and support and waste services,2014-11-01,Inland Empire,22778,102900.0,59469,4560470,2014
administrative and support and waste services,2014-12-01,Inland Empire,23110,104400.0,59469,4560470,2014
arts entertainment and recreation,2014-01-01,Inland Empire,2801,19000.0,59469,4560470,2014
arts entertainment and recreation,2014-02-01,Inland Empire,2801,19000.0,59469,4560470,2014
arts entertainment and recreation,2014-03-01,Inland Empire,2801,19000.0,59469,4560470,2014
arts entertainment and recreation,2014-04-01,Inland Empire,2638,17900.0,59469,4560470,2014
arts entertainment and recreation,2014-05-01,Inland Empire,2624,17800.0,59469,4560470,2014
arts entertainment and recreation,2014-06-01,Inland Empire,2476,16800.0,59469,4560470,2014
arts entertainment and recreation,2014-07-01,Inland Empire,2417,16400.0,59469,4560470,2014
arts entertainment and recreation,2014-08-01,Inland Empire,2358,16000.0,59469,4560470,2014
arts entertainment and recreation,2014-09-01,Inland Empire,2344,15900.0,59469,4560470,2014
arts entertainment and recreation,2014-10-01,Inland Empire,2417,16400.0,59469,4560470,2014
arts entertainment and recreation,2014-11-01,Inland Empire,2683,18200.0,59469,4560470,2014
arts entertainment and recreation,2014-12-01,Inland Empire,2771,18800.0,59469,4560470,2014
construction,2014-01-01,Inland Empire,20044,72900.0,59469,4560470,2014
construction,2014-02-01,Inland Empire,20236,73600.0,59469,4560470,2014
construction,2014-03-01,Inland Empire,20484,74500.0,59469,4560470,2014
construction,2014-04-01,Inland Empire,20649,75100.0,59469,4560470,2014
construction,2014-05-01,Inland Empire,20979,76300.0,59469,4560470,2014
construction,2014-06-01,Inland Empire,21226,77200.0,59469,4560470,2014
construction,2014-07-01,Inland Empire,21803,79300.0,59469,4560470,2014
construction,2014-08-01,Inland Empire,22381,81400.0,59469,4560470,2014
