Industry,Date,County,High Wage Count
crop production,2019-03-01,Madera,115
crop production,2019-01-01,Madera,124
crop production,2019-02-01,Madera,129
crop production,2019-04-01,Madera,110
crop production,2019-05-01,Madera,133
crop production,2019-06-01,Madera,130
crop production,2019-07-01,Madera,123
crop production,2019-08-01,Madera,134
crop production,2019-09-01,Madera,134
crop production,2019-12-01,Madera,127
crop production,2019-10-01,Madera,110
crop production,2019-11-01,Madera,113
us marines,2019-03-01,Fresno,919
us marines,2019-01-01,Fresno,919
us marines,2019-02-01,Fresno,919
us marines,2019-04-01,Fresno,919
us marines,2019-05-01,Fresno,931
us marines,2019-06-01,Fresno,931
us marines,2019-07-01,Fresno,931
us marines,2019-08-01,Fresno,931
us marines,2019-09-01,Fresno,942
us marines,2019-12-01,Fresno,942
us marines,2019-10-01,Fresno,1013
us marines,2019-11-01,Fresno,942
management of companies and enterprises,2019-03-01,Fresno,812
management of companies and enterprises,2019-01-01,Fresno,812
management of companies and enterprises,2019-02-01,Fresno,812
management of companies and enterprises,2019-04-01,Fresno,849
management of companies and enterprises,2019-05-01,Fresno,849
management of companies and enterprises,2019-06-01,Fresno,886
management of companies and enterprises,2019-07-01,Fresno,923
management of companies and enterprises,2019-08-01,Fresno,960
management of companies and enterprises,2019-09-01,Fresno,960
management of companies and enterprises,2019-12-01,Fresno,923
management of companies and enterprises,2019-10-01,Fresno,923
management of companies and enterprises,2019-11-01,Fresno,923
us marines,2019-03-01,Fresno,4349
us marines,2019-01-01,Fresno,4243
us marines,2019-02-01,Fresno,4384
us marines,2019-04-01,Fresno,4337
us marines,2019-05-01,Fresno,4396
us marines,2019-06-01,Fresno,4278
us marines,2019-07-01,Fresno,3465
us marines,2019-08-01,Fresno,3736
us marines,2019-09-01,Fresno,4078
us marines,2019-12-01,Fresno,4337
us marines,2019-10-01,Fresno,4278
us marines,2019-11-01,Fresno,4384
us marines,2019-03-01,Fresno,919
us marines,2019-01-01,Fresno,919
us marines,2019-02-01,Fresno,919
us marines,2019-04-01,Fresno,919
us marines,2019-05-01,Fresno,931
us marines,2019-06-01,Fresno,931
us marines,2019-07-01,Fresno,931
us marines,2019-08-01,Fresno,931
us marines,2019-09-01,Fresno,942
us marines,2019-12-01,Fresno,942
us marines,2019-10-01,Fresno,1013
us marines,2019-11-01,Fresno,942
general merchandise stores including warehouse clubs and supercenters,2019-03-01,Fresno,807
general merchandise stores including warehouse clubs and supercenters,2019-01-01,Fresno,847
general merchandise stores including warehouse clubs and supercenters,2019-02-01,Fresno,817
general merchandise stores including warehouse clubs and supercenters,2019-04-01,Fresno,807
general merchandise stores including warehouse clubs and supercenters,2019-05-01,Fresno,807
general merchandise stores including warehouse clubs and supercenters,2019-06-01,Fresno,807
general merchandise stores including warehouse clubs and supercenters,2019-07-01,Fresno,807
general merchandise stores including warehouse clubs and supercenters,2019-08-01,Fresno,827
general merchandise stores including warehouse clubs and supercenters,2019-09-01,Fresno,827
general merchandise stores including warehouse clubs and supercenters,2019-12-01,Fresno,956
general merchandise stores including warehouse clubs and supercenters,2019-10-01,Fresno,837
general merchandise stores including warehouse clubs and supercenters,2019-11-01,Fresno,946
waste management and remediation services,2019-03-01,Fresno,356
waste management and remediation services,2019-01-01,Fresno,384
waste management and remediation services,2019-02-01,Fresno,384
waste management and remediation services,2019-04-01,Fresno,356
waste management and remediation services,2019-05-01,Fresno,356
waste management and remediation services,2019-06-01,Fresno,384
waste management and remediation services,2019-07-01,Fresno,356
waste management and remediation services,2019-08-01,Fresno,384
